t,xapp,score,score_smoothed,trust_state,kind,attacking,seed,mal_class
24.0,benign_sched,0.10569239806301196,0.16892378413579082,HEALTHY,benign,False,0,A2
24.0,benign_kpm,0.2391009233641453,0.23820880105984255,HEALTHY,benign,False,0,A2
24.0,mal_A2,0.5080724099680181,0.2650325197776055,HEALTHY,A2,False,0,A2
25.0,benign_ho,0.3276311092058354,0.39768298097985183,HEALTHY,benign,False,0,A2
25.0,benign_sched,0.21117728300249775,0.1773744839091322,HEALTHY,benign,False,0,A2
25.0,benign_kpm,0.1998532883321713,0.2305376985143083,HEALTHY,benign,False,0,A2
25.0,mal_A2,0.3665424063545103,0.28533449709298647,HEALTHY,A2,False,0,A2
26.0,benign_ho,0.30254394706202153,0.3786551741962858,HEALTHY,benign,False,0,A2
26.0,benign_sched,0.19148351009911563,0.1801962891471289,HEALTHY,benign,False,0,A2
26.0,benign_kpm,0.2642551518695688,0.2372811891853604,HEALTHY,benign,False,0,A2
26.0,mal_A2,0.3955798018204955,0.3073835580384883,HEALTHY,A2,False,0,A2
27.0,benign_ho,0.284124272051743,0.3597489937673773,HEALTHY,benign,False,0,A2
27.0,benign_sched,0.25963496584839685,0.1960840244873825,HEALTHY,benign,False,0,A2
27.0,benign_kpm,0.2663770906132012,0.24310036947092858,HEALTHY,benign,False,0,A2
27.0,mal_A2,0.23282141760366554,0.2924711299515238,HEALTHY,A2,False,0,A2
28.0,benign_ho,0.4557909764176632,0.37895739029743447,HEALTHY,benign,False,0,A2
28.0,benign_sched,0.12744143703667324,0.18235550699724068,HEALTHY,benign,False,0,A2
28.0,benign_kpm,0.4585264047499148,0.2861855765267258,HEALTHY,benign,False,0,A2
28.0,mal_A2,0.2855908362639513,0.29109507121400935,HEALTHY,A2,False,0,A2
29.0,benign_ho,0.23637528482179473,0.35044096920230655,HEALTHY,benign,False,0,A2
29.0,benign_sched,0.21636636652868818,0.1891576789035302,HEALTHY,benign,False,0,A2
29.0,benign_kpm,0.20619032849674,0.2701865269207287,HEALTHY,benign,False,0,A2
29.0,mal_A2,0.21012680601953698,0.27490141817511493,HEALTHY,A2,False,0,A2
30.0,benign_ho,0.545365430488885,0.38942586145962227,HEALTHY,benign,False,0,A2
30.0,benign_sched,0.29395706591526394,0.21011755630587695,HEALTHY,benign,False,0,A2
30.0,benign_kpm,0.37979074300525223,0.29210737013763344,HEALTHY,benign,False,0,A2
30.0,mal_A2,0.18949296272815044,0.25781972708572204,HEALTHY,A2,False,0,A2
31.0,benign_ho,0.4282839186112735,0.39719747288995255,HEALTHY,benign,False,0,A2
31.0,benign_sched,0.48323829617822245,0.26474170428034605,HEALTHY,benign,False,0,A2
31.0,benign_kpm,0.2604696762626868,0.2857798313626441,HEALTHY,benign,False,0,A2
31.0,mal_A2,0.24043542441547988,0.2543428665516736,HEALTHY,A2,False,0,A2
32.0,benign_ho,0.4014134056065979,0.39804065943328165,HEALTHY,benign,False,0,A2
32.0,benign_sched,0.33458422050682246,0.27871020752564135,HEALTHY,benign,False,0,A2
32.0,benign_kpm,0.1733758430530611,0.26329903370072755,HEALTHY,benign,False,0,A2
32.0,mal_A2,0.19631434750410137,0.24273716274215917,HEALTHY,A2,False,0,A2
33.0,benign_ho,0.29001884003601314,0.37643629555382796,HEALTHY,benign,False,0,A2
33.0,benign_sched,0.3037502869764576,0.2837182234158046,HEALTHY,benign,False,0,A2
33.0,benign_kpm,0.3745631552576154,0.28555185801210514,HEALTHY,benign,False,0,A2
33.0,mal_A2,0.235270560732941,0.24124384234031554,HEALTHY,A2,False,0,A2
34.0,benign_ho,0.41198771194443357,0.3835465788319491,HEALTHY,benign,False,0,A2
34.0,benign_sched,0.24965747138503597,0.2769060730096509,HEALTHY,benign,False,0,A2
34.0,benign_kpm,0.37209074441511947,0.302859635292708,HEALTHY,benign,False,0,A2
34.0,mal_A2,0.022864041234792853,0.19756788211921103,HEALTHY,A2,False,0,A2
35.0,benign_ho,0.18790343377589305,0.3444179498207379,HEALTHY,benign,False,0,A2
35.0,benign_sched,0.3617786420435778,0.2938805868164363,HEALTHY,benign,False,0,A2
35.0,benign_kpm,0.16907560232870386,0.27610282869990715,HEALTHY,benign,False,0,A2
35.0,mal_A2,0.18004064010795512,0.19406243371695986,HEALTHY,A2,False,0,A2
36.0,benign_ho,0.4238718603380706,0.3603087319242045,HEALTHY,benign,False,0,A2
36.0,benign_sched,0.13132853654212856,0.26137017676157476,HEALTHY,benign,False,0,A2
36.0,benign_kpm,0.2838078750838308,0.2776438379766919,HEALTHY,benign,False,0,A2
36.0,mal_A2,0.1675593552021999,0.18876181801400788,HEALTHY,A2,False,0,A2
37.0,benign_ho,0.321739899327424,0.3525949654048484,HEALTHY,benign,False,0,A2
37.0,benign_sched,0.21594384664996238,0.2522849107392523,HEALTHY,benign,False,0,A2
37.0,benign_kpm,0.3107041279847169,0.2842558959782969,HEALTHY,benign,False,0,A2
37.0,mal_A2,0.1374485597228591,0.17849916635577812,HEALTHY,A2,False,0,A2
38.0,benign_ho,0.2995148279094416,0.3419789379057671,HEALTHY,benign,False,0,A2
38.0,benign_sched,0.23295228557785125,0.2484183857069721,HEALTHY,benign,False,0,A2
38.0,benign_kpm,0.31736415642875493,0.2908775480683885,HEALTHY,benign,False,0,A2
38.0,mal_A2,0.21409423350340476,0.18561817978530346,HEALTHY,A2,False,0,A2
39.0,benign_ho,0.3839715786104757,0.3503774660467089,HEALTHY,benign,False,0,A2
39.0,benign_sched,0.12073624128052808,0.22288195682168332,HEALTHY,benign,False,0,A2
39.0,benign_kpm,0.17834570172768588,0.268371178800248,HEALTHY,benign,False,0,A2
39.0,mal_A2,0.14540762398386217,0.17757606862501518,HEALTHY,A2,False,0,A2
40.0,benign_ho,0.3015494555685773,0.3406118639510826,HEALTHY,benign,False,0,A2
40.0,benign_sched,0.2663216171868189,0.23156988889471045,HEALTHY,benign,False,0,A2
40.0,benign_kpm,0.8413419068605741,0.38296532441231323,HEALTHY,benign,False,0,A2
40.0,mal_A2,0.11362589559978167,0.1647860340199685,HEALTHY,A2,False,0,A2
41.0,benign_ho,0.22074944647015957,0.31663938045489803,HEALTHY,benign,False,0,A2
41.0,benign_sched,0.2577553839523659,0.23680698790624155,HEALTHY,benign,False,0,A2
41.0,benign_kpm,0.38202496284209553,0.3827772520982697,HEALTHY,benign,False,0,A2
41.0,mal_A2,0.2490906400284403,0.18164695522166285,HEALTHY,A2,False,0,A2
42.0,benign_ho,0.6843254154843612,0.39017658746079065,HEALTHY,benign,False,0,A2
42.0,benign_sched,0.28566275829278837,0.24657814198355094,HEALTHY,benign,False,0,A2
42.0,benign_kpm,0.4229498271253309,0.390811767103682,HEALTHY,benign,False,0,A2
42.0,mal_A2,0.15988793190213457,0.17729515055775721,HEALTHY,A2,False,0,A2
43.0,benign_ho,0.49055797026479686,0.41025286402159195,HEALTHY,benign,False,0,A2
43.0,benign_sched,0.5416069725775028,0.3055839081023413,HEALTHY,benign,False,0,A2
43.0,benign_kpm,0.12217613503867603,0.33708464069068084,HEALTHY,benign,False,0,A2
43.0,mal_A2,0.021921956441817415,0.14622051173456926,HEALTHY,A2,False,0,A2
44.0,benign_ho,0.42032775799174377,0.41226784281562234,HEALTHY,benign,False,0,A2
44.0,benign_sched,0.05960409221081547,0.25638794492403616,HEALTHY,benign,False,0,A2
44.0,benign_kpm,0.4782185456350517,0.365311421679555,HEALTHY,benign,False,0,A2
44.0,mal_A2,0.5000348801326587,0.21698338541418716,HEALTHY,A2,False,0,A2
45.0,benign_ho,0.25261688908607594,0.38033765206971304,HEALTHY,benign,False,0,A2
45.0,benign_sched,0.15247068772761943,0.23560449348475282,HEALTHY,benign,False,0,A2
